City,Province,Latitude,Longitude,Price,Bedrooms,Bathrooms,Property Type,Square Footage
Maple Ridge,BC,49.1960683,-122.5406323,1789000.0,4.0,4.0,Single Family,3865.0
Langley,BC,49.176673,-122.6197623,1228000.0,4.0,4.0,Townhome,2294.0
Maple Ridge,BC,49.1877521,-122.5359981,2125000.0,7.0,4.0,Single Family,5524.0
Langley,BC,49.1695708,-122.6364472,1338000.0,3.0,3.0,Single Family,1788.0
Chilliwack,BC,49.1302768,-122.0449693,1599999.0,2.0,3.0,Single Family,2029.0
Maple Ridge,BC,49.1997923,-122.5300725,1899990.0,6.0,6.0,Single Family,4371.0
Maple Ridge,BC,49.1937857,-122.5402425,1637700.0,7.0,5.0,Single Family,3754.0
Mission,BC,49.1402688,-122.2885179,734900.0,2.0,2.0,Condo,1116.0
Chilliwack,BC,49.102819,-121.9653147,776900.0,3.0,2.0,Condo,958.0
Mission,BC,49.1380461,-122.3284656,1379000.0,8.0,5.0,Single Family,4050.0
Chilliwack,BC,49.102161,-121.9952278,720000.0,3.0,3.0,Townhome,1768.0
Mission,BC,49.1495671,-122.2622646,1388000.0,6.0,5.0,Single Family,4245.0
Chilliwack,BC,49.165309,-121.9621124,354900.0,2.0,2.0,Condo,1130.0
Langley,BC,49.1407694,-122.6360942,1155000.0,5.0,4.0,Townhome,2458.0
Langley,BC,49.087961,-122.644127,3090000.0,4.0,3.0,Single Family,3288.0
Langley,BC,49.088006,-122.644479,2990000.0,3.0,3.0,Single Family,3029.0
Langley,BC,49.1045061,-122.5366679,1998000.0,4.0,3.0,Single Family,2323.0
Mission,BC,49.1455203,-122.3326542,849999.0,4.0,2.0,Single Family,2002.0
Chilliwack,BC,49.1051956,-121.9659081,365000.0,0.0,1.0,Condo,465.0
Chilliwack,BC,49.0991241,-121.9947523,2499900.0,5.0,5.0,Single Family,4862.0
Chilliwack,BC,49.1571064,-121.9642333,699999.0,3.0,3.0,Townhome,1820.0
Langley,BC,49.0917271,-122.6119864,769888.0,3.0,2.0,Condo,1260.0
Langley,BC,49.0374498,-122.5616783,5799000.0,5.0,5.0,Single Family,5675.0
Chilliwack,BC,49.1699837,-121.9788978,639900.0,3.0,3.0,Townhome,1720.0
Langley,BC,49.104142,-122.641323,549999.0,2.0,2.0,Condo,1027.0
Chilliwack,BC,49.1611015,-121.9621462,339000.0,2.0,1.0,Condo,918.0
Chilliwack,BC,49.159428,-121.9683169,949900.0,4.0,3.0,Single Family,2209.0
Langley,BC,49.178637,-122.646595,927500.0,2.0,2.0,Townhome,1305.0
Maple Ridge,BC,49.1895152,-122.5608117,1588000.0,4.0,4.0,Single Family,3192.0
Maple Ridge,BC,49.205879,-122.530559,839900.0,3.0,3.0,Townhome,1401.0
Langley,BC,49.1630524,-122.6212215,1299000.0,4.0,4.0,Single Family,2042.0
Maple Ridge,BC,49.205879,-122.530559,819900.0,3.0,3.0,Townhome,1411.0
Maple Ridge,BC,49.205879,-122.530559,699900.0,2.0,3.0,Townhome,1047.0
Langley,BC,49.0838213,-122.6453657,2349000.0,6.0,7.0,Single Family,5210.0
Maple Ridge,BC,49.2046612,-122.4568754,3099000.0,5.0,5.0,Single Family,4444.0
Mission,BC,49.1393926,-122.3158594,469000.0,2.0,1.0,Townhome,1054.0
Mission,BC,49.1497123,-122.3487264,1589900.0,4.0,3.0,Single Family,2230.0
Langley,BC,49.14849,-122.643962,759900.0,2.0,2.0,Townhome,1331.0
Maple Ridge,BC,49.183276,-122.5307819,1899000.0,4.0,2.0,Townhome,2116.0
Langley,BC,49.081717,-122.6462963,1429900.0,3.0,3.0,Single Family,2322.0
Chilliwack,BC,49.1405407,-121.9688555,459000.0,2.0,2.0,Condo,1149.0
Chilliwack,BC,49.1405407,-121.9688555,399900.0,1.0,1.0,Condo,968.0
Chilliwack,BC,49.1115244,-121.9760557,749000.0,3.0,1.0,Single Family,1740.0
Mission,BC,49.1585949,-122.3145019,1124900.0,3.0,3.0,Single Family,2175.0
Chilliwack,BC,49.169401,-121.9636915,430000.0,2.0,2.0,Townhome,1040.0
Langley,BC,49.1524519,-122.6461708,739000.0,2.0,2.0,Condo,1147.0
Maple Ridge,BC,49.1726176,-122.492172,1499000.0,3.0,3.0,Single Family,2993.0
Langley,BC,49.1521563,-122.6382362,1749900.0,6.0,4.0,Single Family,3695.0
Chilliwack,BC,49.1223415,-121.9684047,1099900.0,5.0,2.0,Single Family,2127.0
Langley,BC,49.0881133,-122.5911326,1269900.0,2.0,3.0,Townhome,1922.0
Mission,BC,49.1368511,-122.2920977,334900.0,1.0,1.0,Condo,785.0
Chilliwack,BC,49.1160721,-121.9726588,849888.0,4.0,2.0,Single Family,2025.0
Chilliwack,BC,49.097765,-122.0520378,3890000.0,5.0,5.0,Single Family,4009.0
Langley,BC,49.1461078,-122.6476202,795000.0,2.0,2.0,Condo,1109.0
Maple Ridge,BC,49.1956238,-122.5595613,1323845.0,3.0,2.0,Single Family,1926.0
Chilliwack,BC,49.1581082,-121.9634735,1143000.0,5.0,4.0,Single Family,3015.0
Langley,BC,49.146654,-122.64528,415000.0,1.0,1.0,Condo,444.0
Mission,BC,49.15575,-122.3647739,6490000.0,7.0,2.0,Single Family,3804.0
Langley,BC,49.1513088,-122.6408769,936000.0,4.0,4.0,Townhome,1774.0
Maple Ridge,BC,49.1908923,-122.5544313,1099000.0,4.0,4.0,Condo/Townhome,1739.0
Chilliwack,BC,49.1611913,-121.9982848,1099000.0,3.0,3.0,Single Family,2171.0
Chilliwack,BC,49.1643053,-122.0165107,988800.0,4.0,4.0,Townhome,2747.0
Mission,BC,49.1517793,-122.2825523,1275000.0,5.0,4.0,Single Family,2751.0
Langley,BC,49.0543688,-122.5176681,5695000.0,3.0,3.0,Single Family,3708.0
Mission,BC,49.172748,-122.0845719,399900.0,3.0,2.0,Manufactured Home,1955.0
Chilliwack,BC,49.1411505,-121.9691837,409000.0,2.0,2.0,Condo,1167.0
Chilliwack,BC,49.1611015,-121.9621462,250000.0,1.0,1.0,Condo,672.0
Maple Ridge,BC,49.2032672,-122.5562808,1998000.0,3.0,2.0,Single Family,2256.0
Chilliwack,BC,49.1060728,-121.9956004,225000.0,3.0,2.0,Manufactured Home,1096.0
Mission,BC,49.1888488,-122.3905139,1219000.0,3.0,2.0,Single Family,1747.0
Langley,BC,49.064991,-122.6459003,2312380.0,5.0,4.0,Single Family,3605.0
Langley,BC,49.075953,-122.5596362,1399000.0,3.0,1.0,Single Family,1056.0
Chilliwack,BC,49.1177731,-122.0450559,3499999.0,3.0,2.0,Single Family,2134.0
Mission,BC,49.1607104,-122.318428,1448700.0,5.0,4.0,Single Family,2816.0
Mission,BC,49.1632727,-122.3244944,1349900.0,3.0,2.0,Single Family,1975.0
Chilliwack,BC,49.15827,-121.9672309,639900.0,3.0,1.0,Single Family,1230.0
Mission,BC,49.1552501,-122.3206535,1169900.0,6.0,4.0,Single Family,3269.0
Langley,BC,49.0480673,-122.5844978,3900000.0,4.0,3.0,Single Family,3583.0
Mission,BC,49.1462766,-122.2670897,399900.0,2.0,1.0,Manufactured Home,690.0
Langley,BC,49.0513633,-122.5114902,6495000.0,7.0,7.0,Single Family,8227.0
Chilliwack,BC,49.1568996,-122.0015199,849000.0,2.0,3.0,Townhome,2760.0
Langley,BC,49.1503937,-122.6463025,654900.0,2.0,2.0,Condo,893.0
Mission,BC,49.1482175,-122.3120607,1157500.0,5.0,4.0,Single Family,3578.0
Mission,BC,49.152914,-122.3516749,735000.0,3.0,3.0,Townhome,1532.0
Mission,BC,49.172748,-122.0845719,399500.0,2.0,1.0,Manufactured Home,1050.0
Mission,BC,49.1537108,-122.248278,1534900.0,5.0,5.0,Single Family,3626.0
Langley,BC,49.16683,-122.645249,728800.0,2.0,2.0,Condo/Townhome,1378.0
Chilliwack,BC,49.1683887,-121.962171,498888.0,2.0,2.0,Condo,1120.0
Langley,BC,49.2005352,-122.6441551,525000.0,2.0,2.0,Single Family,1322.0
Mission,BC,49.172748,-122.0845719,359900.0,2.0,1.0,Manufactured Home,924.0
Lindell Beach,BC,49.0342474,-122.0103427,1170000.0,2.0,3.0,Single Family,2095.0
Chilliwack,BC,49.161809,-121.9873722,688000.0,3.0,3.0,Condo/Townhome,1746.0
Langley,BC,49.088331,-122.641917,1648000.0,6.0,3.0,Single Family,3775.0
Chilliwack,BC,49.1225585,-121.9620557,995000.0,3.0,2.0,Single Family,3112.0
Chilliwack,BC,49.1611396,-121.971299,1099900.0,5.0,3.0,Single Family,3230.0
Langley,BC,49.1191952,-122.4967974,2100000.0,4.0,2.0,Single Family,2200.0
Chilliwack,BC,49.1051956,-121.9659081,469900.0,1.0,1.0,Condo,613.0
Langley,BC,49.1717156,-122.5790982,889800.0,2.0,2.0,Condo,985.0
Langley,BC,49.1479298,-122.6354801,1234000.0,4.0,4.0,Condo/Townhome,2442.0
Chilliwack,BC,49.1411505,-121.9691837,419900.0,2.0,2.0,Condo,1164.0
Maple Ridge,BC,49.1772289,-122.4364357,1699900.0,2.0,3.0,Single Family,1521.0
Langley,BC,49.1279561,-122.6251004,9950000.0,6.0,3.0,Single Family,1414.0
Langley,BC,49.1470168,-122.6358704,1549900.0,5.0,4.0,Single Family,2634.0
Langley,BC,49.1683434,-122.5817225,2600000.0,8.0,5.0,Single Family,2682.0
Lindell Beach,BC,49.0339145,-122.0247051,1395000.0,4.0,3.0,Single Family,2107.0
Mission,BC,49.1635215,-122.3937311,6500000.0,5.0,3.0,Single Family,2694.0
Mission,BC,49.1343583,-122.3231659,449900.0,2.0,2.0,Condo,1034.0
Chilliwack,BC,49.1654522,-121.9736915,844900.0,4.0,2.0,Single Family,1799.0
Chilliwack,BC,49.1623041,-122.0154956,729900.0,3.0,3.0,Condo/Townhome,2145.0
Chilliwack,BC,49.1782562,-121.9623836,999900.0,5.0,3.0,Single Family,2071.0
Maple Ridge,BC,49.2069457,-122.5507553,4190000.0,3.0,3.0,Townhome,1906.0
Langley,BC,49.1519796,-122.6463107,788800.0,3.0,2.0,Condo,1375.0
Chilliwack,BC,49.1093028,-121.9664816,1399800.0,7.0,6.0,Single Family,4074.0
Maple Ridge,BC,49.196939,-122.5379729,1490000.0,5.0,4.0,Single Family,3508.0
Maple Ridge,BC,49.2076053,-122.5484197,1499000.0,5.0,4.0,Single Family,3143.0
Mission,BC,49.1769871,-122.2906333,1595000.0,3.0,2.0,Single Family,1776.0
Maple Ridge,BC,49.194059,-122.5465921,1749999.0,3.0,3.0,Single Family,4195.0
Langley,BC,49.132233,-122.6404338,1249000.0,4.0,4.0,Townhome,2365.0
Chilliwack,BC,49.102819,-121.9653147,314900.0,0.0,1.0,Condo,308.0
Chilliwack,BC,49.102819,-121.9653147,599900.0,3.0,2.0,Condo,821.0
Chilliwack,BC,49.102819,-121.9653147,544900.0,2.0,2.0,Condo,814.0
Maple Ridge,BC,49.1886866,-122.5359188,2499000.0,6.0,7.0,Single Family,5254.0
Maple Ridge,BC,49.205879,-122.530559,859900.0,3.0,3.0,Townhome,1402.0
Langley,BC,49.1449056,-122.6433386,799000.0,2.0,3.0,Townhome,1237.0
Maple Ridge,BC,49.206016,-122.5272239,1189900.0,5.0,4.0,Single Family,2119.0
Chilliwack,BC,49.1115447,-121.9654083,1199900.0,7.0,4.0,Single Family,3160.0
Mission,BC,49.1463654,-122.3281952,984900.0,5.0,3.0,Single Family,2058.0
Chilliwack,BC,49.1649105,-121.9650024,494990.0,2.0,2.0,Condo,1100.0
Langley,BC,49.1054876,-122.5299876,2348000.0,4.0,3.0,Single Family,2431.0
Langley,BC,49.130968,-122.6398895,1195000.0,3.0,4.0,Townhome,2361.0
Maple Ridge,BC,49.1901187,-122.5677718,19999800.0,2.0,1.0,Single Family,1900.0
Langley,BC,49.0826976,-122.5435579,2849000.0,6.0,5.0,Single Family,7393.0
Abbotsford,BC,49.1482115,-122.4049643,3180000.0,4.0,4.0,Single Family,6679.0
Langley,BC,49.1095771,-122.5618912,1659900.0,3.0,3.0,Single Family,2521.0
Langley,BC,49.0863058,-122.6262409,2975000.0,5.0,6.0,Single Family,4820.0
Mission,BC,49.1532855,-122.2555712,1224900.0,5.0,4.0,Single Family,3972.0
Mission,BC,49.1439727,-122.3366795,1199000.0,6.0,3.0,Single Family,2717.0
Maple Ridge,BC,49.2055657,-122.5150534,2599000.0,5.0,4.0,Single Family,3993.0
Langley,BC,49.1209799,-122.6302541,4495000.0,6.0,6.0,Single Family,5057.0
Chilliwack,BC,49.1620488,-122.0081899,709900.0,3.0,3.0,Townhome,1569.0
Chilliwack,BC,49.1620488,-122.0081899,679900.0,2.0,3.0,Townhome,1549.0
Chilliwack,BC,49.1620488,-122.0081899,679900.0,2.0,3.0,Townhome,1549.0
Langley,BC,49.1699723,-122.6379339,1425000.0,3.0,3.0,Single Family,1875.0
Mission,BC,49.152914,-122.3516749,735000.0,3.0,3.0,Condo,1580.0
Mission,BC,49.152914,-122.3516749,735000.0,3.0,3.0,Townhome,1580.0
Chilliwack,BC,49.1186562,-121.9936859,1215000.0,5.0,4.0,Single Family,1760.0
Chilliwack,BC,49.1056447,-121.9682903,489900.0,2.0,1.0,Condo,786.0
Langley,BC,49.126633,-122.6476629,7250000.0,4.0,3.0,Single Family,3446.0
Langley,BC,49.0920695,-122.6197526,1994900.0,6.0,4.0,Single Family,3743.0
Chilliwack,BC,49.1571064,-121.9642333,645000.0,3.0,4.0,Townhome,1753.0
Mission,BC,49.1422459,-122.3166783,875000.0,5.0,2.0,Single Family,2040.0
Chilliwack,BC,49.1118352,-121.9684769,948800.0,4.0,3.0,Single Family,2007.0
Chilliwack,BC,49.0690563,-122.0575656,2790000.0,7.0,6.0,Single Family,4357.0
Langley,BC,49.0736842,-122.5542202,4088000.0,2.0,1.0,Manufactured Home,672.0
Langley,BC,49.171561,-122.5785908,715000.0,2.0,2.0,Condo,905.0
Mission,BC,49.1451235,-122.326315,899999.0,3.0,2.0,Single Family,1081.0
Langley,BC,49.0338071,-122.5581076,2588000.0,4.0,2.0,Single Family,1835.0
Mission,BC,49.172748,-122.0845719,395000.0,2.0,2.0,Manufactured Home,938.0
Langley,BC,49.1033326,-122.540506,1624900.0,4.0,2.0,Single Family,2108.0
Langley,BC,49.0809928,-122.5770366,2890000.0,2.0,1.0,Single Family,800.0
Langley,BC,49.1446189,-122.6475875,837900.0,3.0,2.0,Condo,1120.0
Maple Ridge,BC,49.1903213,-122.569365,3499800.0,2.0,1.0,Single Family,1064.0
Langley,BC,49.0586313,-122.4866556,959000.0,3.0,2.0,Single Family,1247.0
Langley,BC,49.0245549,-122.57494,2695000.0,3.0,3.0,Single Family,2103.0
Mission,BC,49.138866,-122.3305,415000.0,2.0,1.0,Townhome,1069.0
Mission,BC,49.1713371,-122.2949571,1779000.0,5.0,3.0,Single Family,2826.0
Langley,BC,49.1338462,-122.6447522,7200000.0,1.0,1.0,Single Family,670.0
Lindell Beach,BC,49.0367456,-122.0127478,899000.0,2.0,2.0,Single Family,1312.0
Langley,BC,49.1652081,-122.6390252,699000.0,2.0,1.0,Condo/Townhome,1102.0
Chilliwack,BC,49.1708478,-121.9736227,559900.0,3.0,2.0,Townhome,1339.0
Mission,BC,49.135128,-122.2974407,1350000.0,4.0,2.0,Single Family,2447.0
Langley,BC,49.089164,-122.613438,858800.0,3.0,3.0,Townhome,1597.0
Langley,BC,49.1721068,-122.5802998,699500.0,2.0,2.0,Condo,903.0
Cultus Lake,BC,49.0316162,-122.0213001,1449900.0,5.0,4.0,Single Family,3783.0
Langley,BC,49.061443,-122.4835495,1049000.0,6.0,3.0,Single Family,1803.0
Langley,BC,49.1470859,-122.6450606,570000.0,2.0,2.0,Condo,738.0
Chilliwack,BC,49.1398661,-121.9754223,384900.0,2.0,2.0,Condo/Townhome,1041.0
Chilliwack,BC,49.1538149,-122.0439693,3999999.0,4.0,5.0,Single Family,4047.0
Langley,BC,49.1629199,-122.5866566,1619900.0,3.0,2.0,Single Family,1595.0
Mission,BC,49.1539073,-122.2479744,1698800.0,6.0,5.0,Single Family,4445.0
Mission,BC,49.1659628,-122.2361894,79000.0,2.0,2.0,Manufactured Home,960.0
Cultus Lake,BC,49.0700375,-121.9778846,1129000.0,2.0,1.0,Single Family,1307.0
Langley,BC,49.1457022,-122.6473489,499900.0,1.0,1.0,Condo,569.0
Langley,BC,49.0594953,-122.4888424,1599900.0,4.0,1.0,Single Family,1413.0
Mission,BC,49.1385417,-122.329751,925000.0,5.0,3.0,Single Family,1925.0
Mission,BC,49.1464695,-122.3194125,649000.0,2.0,2.0,Condo,963.0
Langley,BC,49.0338749,-122.4870446,6999988.0,0.0,2.0,Single Family,4984.0
Cultus Lake,BC,49.0715235,-121.9781322,899900.0,4.0,2.0,Single Family,2062.0
Langley,BC,49.10639,-122.64401,520000.0,2.0,2.0,Condo,1029.0
Mission,BC,49.1464663,-122.2848477,1349900.0,7.0,7.0,Single Family,3903.0
Chilliwack,BC,49.1025351,-121.9638289,379900.0,1.0,1.0,Condo,445.0
Langley,BC,49.1450732,-122.6449414,473800.0,1.0,1.0,Condo,533.0
Chilliwack,BC,49.1228979,-122.0366002,2799900.0,4.0,3.0,Single Family,4475.0
Langley,BC,49.0700851,-122.5500852,299900.0,2.0,1.0,Manufactured Home,1237.0
Langley,BC,49.1505559,-122.6462401,789000.0,2.0,2.0,Condo,1113.0
Langley,BC,49.104142,-122.641323,549999.0,2.0,2.0,Condo,998.0
Chilliwack,BC,49.1367216,-121.9771978,699000.0,3.0,3.0,Townhome,1732.0
Mission,BC,49.160086,-122.3017597,1499000.0,4.0,3.0,Single Family,2107.0
Mission,BC,49.1513434,-122.2821143,1649000.0,6.0,6.0,Single Family,3888.0
Mission,BC,49.1543241,-122.2487982,1724999.0,7.0,7.0,Single Family,4936.0
Langley,BC,49.1457464,-122.6470743,494000.0,1.0,1.0,Condo,552.0
Chilliwack,BC,49.1001995,-121.9620712,1849000.0,1.0,1.0,Single Family,629.0
Chilliwack,BC,49.1001952,-121.9617226,1849000.0,3.0,2.0,Single Family,1628.0
Mission,BC,49.1630522,-122.2653583,3750000.0,5.0,5.0,Single Family,6070.0
Chilliwack,BC,49.1613815,-121.9746225,939900.0,4.0,3.0,Single Family,2919.0
Langley,BC,49.1345313,-122.5119017,4880000.0,5.0,5.0,Single Family,3842.0
Langley,BC,49.0948576,-122.5481617,2690000.0,2.0,2.0,Single Family,1025.0
Chilliwack,BC,49.1187434,-122.0328765,3775000.0,8.0,7.0,Single Family,6895.0
Mission,BC,49.1551332,-122.3068114,719900.0,3.0,3.0,Townhome,1477.0
Chilliwack,BC,49.102331,-122.0605558,1970000.0,4.0,2.0,Single Family,2865.0
Langley,BC,49.068665,-122.551422,438900.0,3.0,2.0,Manufactured Home,1395.0
Maple Ridge,BC,49.1734451,-122.4856098,2348000.0,1.0,1.0,Single Family,1104.0
Langley,BC,49.020785,-122.5906078,4995000.0,5.0,5.0,Single Family,6439.0
Mission,BC,49.152914,-122.3516749,738800.0,3.0,3.0,Townhome,1663.0
Mission,BC,49.152914,-122.3516749,734000.0,3.0,3.0,Townhome,1563.0
Chilliwack,BC,49.1225505,-121.9722879,949000.0,4.0,3.0,Single Family,2185.0
Lindell Beach,BC,49.0318448,-122.0182384,799000.0,2.0,2.0,Single Family,1086.0
Langley,BC,49.1330146,-122.6392572,1739999.0,6.0,6.0,Single Family,3691.0
Chilliwack,BC,49.1021341,-121.9864827,899900.0,4.0,4.0,Condo/Townhome,2191.0
Mission,BC,49.1469537,-122.346404,2298900.0,5.0,5.0,Single Family,5586.0
Chilliwack,BC,49.1051956,-121.9659081,403900.0,0.0,1.0,Condo,465.0
Langley,BC,49.080728,-122.6224615,4888000.0,3.0,1.0,Single Family,1344.0
Langley,BC,49.1406058,-122.6365322,949000.0,3.0,3.0,Townhome,1535.0
Maple Ridge,BC,49.2039378,-122.5519859,2069900.0,6.0,6.0,Single Family,4487.0
Langley,BC,49.0339449,-122.6284537,3999000.0,5.0,5.0,Single Family,6600.0
Mission,BC,49.1823648,-122.3231616,1825000.0,4.0,3.0,Single Family,2065.0
Langley,BC,49.083455,-122.6417339,2149900.0,8.0,4.0,Single Family,4138.0
Langley,BC,49.0370162,-122.4936621,5500000.0,4.0,1.0,Single Family,1838.0
Langley,BC,49.16117,-122.633151,810000.0,3.0,3.0,Townhome,1597.0
Langley,BC,49.1548888,-122.6453275,1518888.0,6.0,4.0,Single Family,3457.0
Langley,BC,49.1116559,-122.4907598,3875000.0,6.0,8.0,Single Family,5849.0
Maple Ridge,BC,49.1979328,-122.5370546,1549900.0,4.0,4.0,Single Family,3754.0
Mission,BC,49.1529954,-122.3462774,1649900.0,4.0,3.0,Single Family,2596.0
Mission,BC,49.1429948,-122.3355643,1098800.0,5.0,3.0,Single Family,2095.0
Chilliwack,BC,49.1110447,-121.9676987,899000.0,3.0,4.0,Single Family,2110.0
Chilliwack,BC,49.162532,-121.987949,649900.0,3.0,3.0,Townhome,1565.0
Langley,BC,49.082368,-122.580099,259900.0,2.0,1.0,Manufactured Home,768.0
Langley,BC,49.103214,-122.641399,739900.0,2.0,2.0,Condo/Townhome,1355.0
Mission,BC,49.1379995,-122.3305061,999000.0,4.0,2.0,Single Family,1700.0
Langley,BC,49.0754863,-122.5666379,2895000.0,6.0,7.0,Single Family,4280.0
Chilliwack,BC,49.1730551,-121.9671025,679000.0,3.0,3.0,Townhome,1920.0
Mission,BC,49.1540688,-122.2364039,1098880.0,5.0,3.0,Single Family,2103.0
Langley,BC,49.1262629,-122.6170647,3950000.0,8.0,3.0,Single Family,2845.0
Langley,BC,49.1542917,-122.6446634,529900.0,1.0,1.0,Condo,625.0
Langley,BC,49.1597214,-122.6338348,799999.0,3.0,2.0,Condo,1407.0
Langley,BC,49.1325018,-122.6467767,6499888.0,4.0,3.0,Single Family,1943.0
Cultus Lake,BC,49.0723425,-121.9766946,949900.0,4.0,2.0,Single Family,1632.0
Mission,BC,49.1472769,-122.2661997,2499800.0,5.0,3.0,Single Family,2970.0
Langley,BC,49.0500414,-122.6307022,5999000.0,3.0,3.0,Single Family,2760.0
Mission,BC,49.141783,-122.3167791,1136000.0,4.0,3.0,Single Family,1771.0
Mission,BC,49.1589043,-122.3066798,1349888.0,7.0,6.0,Single Family,3777.0
Langley,BC,49.178382,-122.6456338,1439900.0,5.0,4.0,Single Family,3298.0
Mission,BC,49.1369096,-122.3180994,629000.0,3.0,2.0,Townhome,1220.0
Mission,BC,49.1514808,-122.2655949,1550000.0,5.0,5.0,Single Family,3671.0
Cultus Lake,BC,49.0319626,-122.0191316,929900.0,2.0,2.0,Single Family,1578.0
Langley,BC,49.1533463,-122.6426537,1029000.0,4.0,4.0,Townhome,1990.0
Mission,BC,49.168805,-122.3092317,1649000.0,4.0,3.0,Single Family,2432.0
Chilliwack,BC,49.1029821,-121.9880243,1069000.0,5.0,4.0,Single Family,3002.0
Langley,BC,49.0731168,-122.619108,2798000.0,3.0,3.0,Single Family,2738.0
Maple Ridge,BC,49.1951258,-122.5335867,989900.0,4.0,4.0,Townhome,1786.0
Langley,BC,49.1318017,-122.4735835,4300000.0,3.0,2.0,Single Family,1620.0
Langley,BC,49.1417047,-122.6429509,988000.0,4.0,3.0,Condo/Townhome,1610.0
Langley,BC,49.1307173,-122.6449575,999000.0,3.0,4.0,Condo/Townhome,2055.0
Langley,BC,49.1080717,-122.6247497,3399000.0,8.0,4.0,Single Family,3570.0
Maple Ridge,BC,49.1877184,-122.5476196,969900.0,5.0,3.0,Single Family,2197.0
Mission,BC,49.1480315,-122.3513726,1999500.0,3.0,4.0,Single Family,2431.0
Mission,BC,49.154844,-122.2465364,1490000.0,6.0,5.0,Single Family,4339.0
Mission,BC,49.158018,-122.3104807,1298800.0,6.0,4.0,Single Family,2941.0
Langley,BC,49.1242735,-122.6246803,1649000.0,6.0,5.0,Single Family,2950.0
Chilliwack,BC,49.1649105,-121.9650024,369000.0,1.0,1.0,Condo,803.0
Langley,BC,49.1043136,-122.5376883,1995000.0,2.0,2.0,Single Family,2615.0
Chilliwack,BC,49.1120844,-121.9754379,799900.0,3.0,1.0,Single Family,1066.0
Langley,BC,49.0822097,-122.607905,2845000.0,6.0,5.0,Single Family,4499.0
Mission,BC,49.1577486,-122.2964982,2499500.0,6.0,4.0,Single Family,4405.0
Mission,BC,49.1627935,-122.3207159,1499000.0,7.0,5.0,Single Family,3100.0
Mission,BC,49.1548902,-122.2910299,1195000.0,7.0,5.0,Single Family,3703.0
Langley,BC,49.070386,-122.5519122,425000.0,3.0,1.0,Manufactured Home,1557.0
Mission,BC,49.1480234,-122.3156426,998000.0,6.0,3.0,Single Family,2274.0
Mission,BC,49.1385134,-122.3313461,1149000.0,5.0,2.0,Single Family,1663.0
Langley,BC,49.1288106,-122.6206539,1400000.0,1.0,1.0,Single Family,888.0
Abbotsford,BC,49.1479762,-122.4104327,1169000.0,5.0,3.0,Single Family,3749.0
Mission,BC,49.1429014,-122.3087879,815500.0,4.0,4.0,Condo/Townhome,2049.0
Langley,BC,49.0836828,-122.6040022,1595000.0,4.0,3.0,Single Family,2265.0
Mission,BC,49.1574399,-122.3461411,3327800.0,6.0,3.0,Single Family,4073.0
Langley,BC,49.0075557,-122.5990297,3699000.0,4.0,2.0,Single Family,1954.0
Mission,BC,49.1628012,-122.3484105,1899000.0,3.0,2.0,Single Family,2288.0
Langley,BC,49.08326,-122.647692,1449900.0,3.0,3.0,Single Family,1757.0
Mission,BC,49.1677708,-122.2393966,689500.0,3.0,3.0,Single Family,1801.0
Lindell Beach,BC,49.0316162,-122.0213001,1449900.0,5.0,4.0,Single Family,3705.0
Lindell Beach,BC,49.0316162,-122.0213001,1449900.0,5.0,4.0,Single Family,3885.0
Lindell Beach,BC,49.0316162,-122.0213001,1449900.0,5.0,4.0,Single Family,3845.0
Mission,BC,49.1351009,-122.2962125,3495000.0,4.0,2.0,Single Family,2445.0
Langley,BC,49.1542917,-122.6446634,537900.0,1.0,1.0,Condo,583.0
Mission,BC,49.1911246,-122.3779719,1067800.0,2.0,1.0,Single Family,1939.0
Chilliwack,BC,49.1004889,-121.9614914,539900.0,2.0,2.0,Condo,1265.0
Langley,BC,49.0700425,-122.5486336,1499000.0,2.0,2.0,Single Family,1280.0
Mission,BC,49.1429122,-122.3273794,789900.0,3.0,2.0,Duplex,1293.0
Chilliwack,BC,49.1329653,-121.9772185,1699000.0,9.0,7.0,Single Family,4757.0
Chilliwack,BC,49.1025351,-121.9638289,469900.0,1.0,1.0,Condo,612.0
Mission,BC,49.1421799,-122.3145664,929000.0,5.0,4.0,Single Family,2245.0
Chilliwack,BC,49.1025351,-121.9638289,469900.0,1.0,1.0,Condo,610.0
Mission,BC,49.1353485,-122.3244914,649999.0,3.0,3.0,Townhome,1575.0
Maple Ridge,BC,49.2055602,-122.5474894,1899000.0,7.0,7.0,Single Family,4209.0
Mission,BC,49.1660406,-122.240086,879000.0,2.0,1.0,Single Family,1064.0
Mission,BC,49.1606754,-122.2970147,3999999.0,5.0,4.0,Single Family,3399.0
Maple Ridge,BC,49.2055671,-122.5477645,1875000.0,6.0,6.0,Single Family,4193.0
Maple Ridge,BC,49.2055601,-122.5474894,1925000.0,6.0,6.0,Single Family,4045.0
Mission,BC,49.1577896,-122.2981001,2750000.0,4.0,3.0,Single Family,1988.0
Mission,BC,49.1553394,-122.3671021,7399900.0,6.0,2.0,Single Family,5120.0
Langley,BC,49.103214,-122.641399,749900.0,2.0,2.0,Townhome,1175.0
Langley,BC,49.0603294,-122.5729537,4388888.0,6.0,5.0,Single Family,3323.0
Lindell Beach,BC,49.0367728,-122.0124242,999900.0,3.0,1.0,Single Family,750.0
Langley,BC,49.0072835,-122.6022675,3288000.0,5.0,3.0,Single Family,2292.0
